标题,星级,内容,标签
An average flight flying economy cass across the Pacific from Hong Kong to NYC.,3,"Just another long and boring flight from Asia to the USA. I have made many of them and they all seem the same. Flying in the cheap seats you always get mediocre food, a tight space, essentially you get what you pay for. I got a good deal at $646 USD round trip from JFK to Saigon so as I...",International' 'Economy' 'Hong Kong - New York City
Cathay Is Still Cathay,4,"In the last few flights to Hong Kong, I was distracted by the competitive prices offered by Air Canada to drop CX. After many times of unhappy experience, I finally decided to pay slightly more to go back to CX. Though the overall level has dropped a little bit, Cathy is still Cathay especially when you compared to the services...",International' 'Economy' 'Vancouver - Hong Kong
Bad service and food,3,"In the past Cathay Pacific was a good airline company. But time had changed.
Even in the Premium economy Class the service is medium. The food is terrible and the choices on the menu are sometimes not available. I mean, on the menu but not on board.
So never fly again when there is another possibility.",International' 'Premium Economy' 'Christchurch - Hong Kong
Efficiency personified,5,"Recently flew with Cathay from London to Auckland via Hong Kong and six weeks later from Sydney again via Hong Kong back to London. These guys really know what long travelers need and their attention to detail is impressive. Very courteous, great food and comfortable seats/beds. I would have no hesitation in flying with Cathay in the future.",International' 'Business Class' 'Sydney - London
Cathay pacific,5,"1st time flying with Cathay Pacific, I found the boarding experience very organised, flight left on time, great meals and in flight service. Will definately fly with them again.",International' 'Economy' 'Brisbane - Hong Kong
good flight,4,"Cathay is well known for being one of the best airlines and the really proved it over and over again with their super nice and efficient team! The only bad thing I have to say is after flaying on 4 of their planes in the past month I found that although the cabin was nice, the toilet it self-was not...",International' 'Economy' 'Melbourne - Tel Aviv
Well worth the extra money for premium economy,5,"Premium economy gave us extra leg room which was great as we had an overnight flight. The seats reclined and the leg rest came up to allow us to have more comfort to try to sleep.
The flight was 7 hours so the extra space was very welcome.
We were greeted with a choice of orange juice, apple juice, water...",International' 'Premium Economy' 'Perth - Hong Kong
Value for Money,4,"This about the 5 time that we have flown business class with Cathay from Bangkok to Singapore as the cost of a ticket was very good value around 3% cheaper similar airlines. The service in the lounge and flight was good service. Choice of food was good on the flight and in the lounge in Bangkok, Singapore lounge was not...",Southeast Asia' 'Business Class' 'Bangkok - Singapore
Don't fly with this one,1,"We did not get there because Cathay Pacific would not issue us with an ETA as we did not have a visa. Who knows you need a visa for Australia???
ETA is an Electronic Travel Authority and can be issued by air lines!!!
But the Australia National Airline would not let us fly!?!",International' 'Economy' 'Hong Kong - Adelaide
Terrible at first then Each leg of our journey improved,3,"Our first leg from Australia to Hong Kong was really terrible, we got the worst seats, the leg room was equal to a cheap economy flight, crowded, food was terrible, flight attendants seemed rushed, stressed and not so happy to serve.we got off that flight swearing we will pay anything for an upgrade there was none avail. The next leg...",International' 'Economy' 'Brisbane - Frankfurt
"Lovely staff, good amenities",3,I thought the staff were lovely and the tv systems and choice of entertainment good. We also got fed and watered well. However on the first flight (2 hours to Hong Kong) everyone got meals and no vegetarian option at all. Then on the longer flight (13 hours) still no vegetarian option for the breakfast. We were told this option...,International' 'Economy' 'Hanoi - Manchester
Pretty good. Always late but not by much....,4,I detest flying so to not complain too much is almost a complement from me. Only Thai Air ever got a good review from me. But Cathay Pacific falls somewhere in the C+ range. Biggest complaint: 1.5 hours getting our luggage after a 14 hour airport/flight ordeal. You can check-in easily but getting out is difficult. Shades of hotel California.,International' 'Economy' 'Bangkok - Hokitika
Excellent service but unacceptable delays,4,Flying to Bangkok from Vancouver and back there were delays in both directions causing missed connections.,International' 'Economy' 'Vancouver - Bangkok
Cathay Pacific,5,"The notification on the delayed flight arrived on my phone as we entered the airport. Weather in BOS delayed the departure from about 6P until after 3A!! Long time to hang out BUT HKG is an OK airport to have to do this.
Flight was good as usual with dinner served at 4A!!
Arrival at 6Ain BOS had us sitting...",International' 'Premium Economy' 'Hong Kong - Boston
Long Haul Trip to New Zealand via Hong Kong,4,"My first long haul flight ever and I was pleasantly surprised at the comfort of the plane and entertainment. I found the cheapest flight possible by booking well in advance and would recommend others do the same. My brothers traveled with alternative well known airlines (more expensive too) and had some issues, which I didn't experience. My cases were taken...",International' 'Economy' 'Manchester - Auckland
Lots of ecomony leg room and good food!,5,"Far more leg room than we were expecting, and the food wasn't at all bad for aeroplane food. The in-flight entertainment was varied and worked well. We were held on the tarmac at Manchester because of a problem with the water pump, but on the whole the flight was a very pleasant experience.",International' 'Economy' 'Manchester - Hong Kong
Pleasant experience,4,A pleasant flight from onset when we were immediately offered drinks. A menu told us what to expect from the meals which proved as good as airline food could be. We had loads of leg room in our seats and together with generous luggage allowance would make us fly with them again.,International' 'Premium Economy' 'Hong Kong - London
Long flight but was looked after,5,"This is a long flight with a stop in Hong Kong. I had good service there and back, no delays. This was the first time I have used Cathy Pacific, very pleased and would use again. I found the food was fine both ways, seat was comfy and had legroom I was happy with. My cases arrived at both ends...",International' 'Economy' 'Manchester - Hanoi
Best Asian airline,5,"Best Asian Airline I have flown in. On time, customer service is outstanding, quick and easy boarding. They still offer food, snacks and drinks for free. Entertainment options are great. Seats have plenty of leg room. Flight attendants are awesome. First rate airline. Highly recommend .",International' 'Economy' 'Manila - Los Angeles
The way to fly.,4,"I've flown Cathy for several years now, twice on Premium Economy and twice in Business. On a nearly 16 hour flight everything counts and their service is second to none. I go to Hong Kong every 2 years and intend to make them my airline of choice.",International' 'Business Class' 'New York City - Hong Kong
First flight with Cathay Pacific,4,Very kind and helpuful crew and always showed up a happy face even after a long flight. Service in cabin very good and you were served good meals and drinks by lovely people.,International' 'Economy' 'Helsinki - Bangkok
"Overall, a nice huge plane",4,"Going to HongKong and Mumbai, I was fortunate to have no-one sitting beside me. This allowed me to stretch during the night and prevent my feet from swelling. The best to sit aisle for long flights. The attendants are not being seen when everyone is sleeping.",International' 'Economy' 'Vancouver - Mumbai
A long daytime flight,4,"The flight was over ten hours long but the cabin was very comfortable, the cabin staff very pleasant and a very large selection of films to chose from. The flight departed at 3pm when most passengers would have had lunch but dinner was served with a lighter meal shortly before landing (past midnight at point of departure). Some rescheduling would...",International' 'Business Class' 'Auckland - Hong Kong
"Overall, a great airline at a great location.",5,"Three years of Diamond, and unfortunately a Gold member since last year but this airline has always been the top choice for me since I relocated to Hong Kong. Their lounge in Hong Kong is top of the notch, high chance of upgrades no matter flying short or long, great crew and ground staff (not too much like the ones...",North Asia' 'Business Class' 'Hong Kong - Seoul
perfect timing for a weekend getaway,4,exchanged this flight with my asiamiles... lots of flexible flight time available for me to get to the airport after work on a saturday. flight is ontime (slightly earlier) as usual.,North Asia' 'Economy' 'Hong Kong - Osaka
Great lie flat seat+Great service,5,"CX offers some of the best food for an airline. The lie flat seat in Biz class (on our 777-3) has plenty of length for someone like me that is over 6 foot tall. I do wish it was a little wider but overall I enjoyed the seat and was able to sleep.
Flying in Business class gives you access...",International' 'Business Class' 'Los Angeles - Singapore
Not as awesome as it was,4,We save and buy miles to be able to travel business class on flights over 8 hours long. I purposely chose Cathay Pacific to get to Vietnam because of our first experience four years ago. It was magical (my first business class flight ever and I was in my sixties!). It feels outrageous to be complaining that the treatment wasn’t...,International' 'Business Class' 'New York City - Hong Kong
3 out of five it’s fair rating,3,"I fly premium economy but my review will be based on the overall experience.
Asked if I want s drink upon seating. In one occasion I asked for an alcoholic drink and I was told to wait until take off. In another occasion I asked for a bottle of water. Same thing. What they mean with take off is to...",International' 'Premium Economy' 'Melbourne - Hong Kong
Best economy class I've ever had,5,"To start with my flight from Auckland was delayed, meaning I'd miss my connecting flight from Hong Kong to Manila. Cathay Pacific re-booked me on a later flight, which meant an overnight stop in Hong Kong. Cathay Pacific organised and paid for my overnight hotel stay in HK as well as a voucher for breakfast the next morning.
The flight...",International' 'Economy' 'Auckland - Manila
Cathay Pacific Don't Recommend,2,Flew outward from LHR to HK with stopover in HK and then onto Auckland. Flew back from Perth WA via HK to LHR. Outward trip just ok. Seats in premium economy to HK seen better days and became uncomfortable after a few hours. Meals just very ordinary. Best to eat before you get on. Drinks are sparse for such a...,International' 'Premium Economy' 'Perth - London
A Rip-off,1,"This is a review about the terrible attitude this airline has to clients who book a tour via a travel agent.
My wife and I booked a tour with Bicton Travel of Perth(our third such cruise with them)in August last year(217). We were informed that seats on the flights from Perth to HK and HK to Vancouver could NOT be...",International' 'Economy' 'Perth - Vancouver
One of the better flying experiences,5,"This was the last leg of our journey having flown with American Airlines and Quantas on other stages and was by far the best.
From check in to disembarking the service was welcoming and efficient. The seating was comfortable and when the seat in front was reclined didn’t feel claustrophobic.
The menu was suited to all tastes and there was...",International' 'Economy' 'Hong Kong - Manchester
Always a wonderful flight experience with Cathay,4,Have always been enjoying flying with Cathay Pacific since 26! Wonderful staff members and courteous customer service!,International' 'Economy' 'Kathmandu - Vancouver
"Pleasant flight, good food and free instant noodles",5,"I usually flew with Cathay from Helsinki to HCM city and back. Flights were generally pleasant. Flight attendants were very friendly. Food was good and suited my asian taste. Especially, there was always ice cream for dessert which was very refreshing. Free instant noodles during the flights.",International' 'Economy' 'Helsinki - Ho Chi Minh City
On time great service,4,I am travelled bf Cathay Pacific couple of times and found them punctual and great customer oriented service. Best thing is to get Indian veg food.,North Asia' 'Business Class' 'Mumbai - Shanghai
long haul flight,4,Seat on the aisle near the back off the plane. I am only short so did'nt have a problem with leg room. Staff were attentive and meal was served pretty quick. The plane was full due to Chinese New Year quite a lot of children. Wine served with the meal generous measure and also quick refill when requested. Did'nt find...,International' 'Economy' 'Manchester - Hong Kong
Premium Economy on CX A35,4,"First time flying premium economy in the new A35 to NZ. Reclining seats with footrest and noticeably more spacious than economy class. Personal entertainment system (TV) have a wide selection of movies and the supplied headphone is noise cancelling. Food was decent enough as airplane food goes, Overall, a very pleasant experience and well worth the money for long haul.",International' 'Premium Economy' 'Hong Kong - Christchurch
Great cabin crew,4,We had 2 seats together in front of a bulkhead - no 3rd seat next to us. The seat reclined well enough for a night flight and it felt spacious. The cabin crew were very friendly and helpful and the food was a lot better than on many flights we have taken.,International' 'Economy' 'Melbourne - Hong Kong
Still one of the best.,5,"On time departure. Premium economy seats really comfortable with good recline. In flight entertainment good variety for all . In flight food, actually better empanadas from before. All in all, great job Cathay Pacific.",Asia' 'Premium Economy' 'Manila - Hong Kong
"Premium Economy,expected, a superior product.",4,"On time departure, very comfortable seats in premium economy. Cabin crew was efficient. The in flight snack was a empanada and fruit juice.
A choice of local beers also included. All in all, quite well done for Cathay Pacific.",Asia' 'Premium Economy' 'Manila - Hong Kong
good plane,4,i am 6 foot tall and seat for me where very nice and comfortable good service and very nice for long haul,International' 'Economy' 'Hong Kong - London
Holiday travel in Winter 218,4,"This time we few from Dhaka to Toronto via Hongkong. I'd unpredictable back pain about about a week earlier, so decided to opt for wheel chair. Cathay Pacific had obliged to provide the wheel chair service. The security and the wheel chair attended at the airport assisted me and my wife till the door of the aircraft for boarding.
I...",International' 'Economy' 'Dhaka City - Toronto
Business class rules,5,"Flight was in 2 stages: 11 hours from Auckland to Hong Kong, 4 hour stopover and 13 hours to Manchester.
Despite hearing some reservations from others about attitude and food we found the staff to be friendly and attentive. Overall the food was excellent and I particularly enjoyed the Chinese breakfast served before landing in Manchester.
The timing of the...",International' 'Business Class' 'Auckland - Manchester
Long flight but not bad,4,"Our long flight to Hong Kong was not nearly as bad as I anticipated. The seats were comfortable, blankets were nice and food was ok. I asked for a drink not long after we took off for before dinner and they said I couldn't have one until later. Later was after my dinner and everyone else in the plane had...",International' 'Premium Economy' 'New York City - Hong Kong
Long haul from Hong Kong to JFK,5,"Everything was great except the food...not very good. I have flown this trip in first class where the food and service is exceptional. I didn't expect that same level in economy, but I did hope for a somewhat better quality of food and service.",International' 'Economy' 'Hong Kong - New York City
3 hours of excellence,5,"My partner and I recently had 4 days in Hong Kong, leaving and returning to Bangkok
I used frquent flyer points to ""splurge"" on the flights. Business class going and first class returning.
The business class was as expected with Cathay, excellent. The return trip in first class was amazing.
The space accomodated by personal areas was very generous, room...",Southeast Asia' 'First Class' 'Hong Kong - Bangkok
24 hour trip to Bali,5,"I have to admit I was dreading the flight. It was about 15 hours to Hong King, a four hour layover the 4.5 hours to Bali.
The seats had plenty of legroom for my 6’ long legged frame. There was no internet/WiFi but I enjoyed the disconnection! On board individual entertainment was plentiful and in many language choices. Two full...",International' 'Economy' 'San Francisco - Denpasar
Long haul flights,5,"The airline is very efficient, the food was great as I selected the vegetarian option. The seats were comfortable as we paid extra for the leg room at the front of the sections.the inflight entertainment was great. All current movies and a good selection of music",International' 'Premium Economy' 'Sydney - London
Bangalore to Melbourne,4,"I travelled from Bangalore - Honk Kong - Melbourne, The flights were on time, good ground and on flight staff. Enough leg room however the layover is too long.",International' 'Economy' 'Bengaluru - Melbourne
Not a good experience,2,"I had heard many good things about Cathay Pacific so we booked. I am not sure I will ever use them again. From my perspective they use their oldest planes for their longest flights. We flew to and from LAX to Hong Kong (both flights) on their older planes and from Hong Kong to Bangkok on newer, better equipment. Doesn't...",International' 'Economy' 'Los Angeles - Bangkok
Undercooked rice and luggage zip was broken,3,My 1st time flying with CX. Great legroom but .... Service was average - some of the staff was friendly while others aren't; inflight meal was average - rice was undercooked during my flight from HK to SG; baggage service was bad as my luggage zip was broken and unable to lock using TSA lock.,Southeast Asia' 'Economy' 'Taipei - Singapore
Rice was undercooked and my luggage zip was broken,3,My first time flying with CX. GREAT legroom; average service - some of the staff were friendly while others aren't; inflight meals (veg oriental meal) were also average - the rice was undercooked for my return flight from HK to SG; baggage service was bad as the zip was broken and unable to lock it using the TSA lock.,Southeast Asia' 'Economy' 'Taipei - Singapore
Actual Experience below my expectations,3,"We flew on Cathay Pacifc to Ho Chi MInh Cirty through Hong Kong in Premium Economy. The flight going to Asia was not so bad but return had the most issues.
Economy Plus is definitly nice to be in for a long flight becuase the seats are bigger and wider. The service is attentive and polite but there is not...",International' 'Premium Economy' 'Toronto - Ho Chi Minh City
Getting worse each time,2,"Was efficient , but its getting worse and worse over the last 2 years, food is terrible! seat spacing getting smaller, service getting even worse...cleanliness is terrible as always
time keeping also getting worse...now to a stage I stopped flying them!
Fare still cheap but who wants to fly a gradually degrading airline?",North Asia' 'Economy' 'Tokyo - Taipei
Shanghai to Manila,5,Flight was on-time from SHA-HK and HK- MNL service was consistent from meals served a few minutes after flight. Seats and Toilets are clean. Movies and entertainment are updated with enough choices to keep you busy thru the flight.,Southeast Asia' 'Business Class' 'Shanghai - Manila
CX Premium Economy Cabin,3,"Redeemed a ticket from HK to Frankfurt in the premium economy class. Glad to have the first row seat with even more leg room. My review of the CX premium economy class shows below:-
Seat : seating pad is to short, could only place 2/3 of my thigh. For long haul, that would add much stress to my thigh. Perhaps...",International' 'Premium Economy' 'Hong Kong - Frankfurt
Overall Good,3,"As outward journey could not find out if I could check in on line and select my seat. Why is information not on website? Flight was good and on time. Service better than outward journey. Day flight again with lights out and blinds down. Why? I really hate this for day flights.
Toilets got in a poor state during flight.",International' 'Economy' 'Auckland - Hong Kong
below expectations,3,"Surprised could not check in on line, so had to be at airport extra early. Difficult to find out what time needed to be there. Not clear on website. Could not view and select seat.Then long wait before flight. Then all hand baggage checked again manually at entrance to plane. Overhead lockers too high for small people. Allocated seat by...",International' 'Economy' 'Hong Kong - Sydney
Awful experience,1,"I had a flight scheduled home with Cathay Pacific Airways this past Sunday, March 4th 218, from Bangkok to New York, John F. Kennedy Airport. My friend and I, decided five months ago to book our flights with Cathay Pacific Airways, as the airline is recognized to be one of the most respected Airlines. I would like to make you...",International' 'Economy' 'Bangkok - New York City
"Cathay Pacific Airline, New Zealand to UK via Hong Kong",1,"Cabin crew were very unfriendly and meals served were terrible, irregular and often unavailable.
My suitcase was badly damaged. When reporting this to the airline at my earlier convenience I was told they were not responsible as it was outline the 7 day deadline.
The reason for travel was to attend my fathers funeral so reporting a damage suitcase was...",International' 'Economy' 'Christchurch - Manchester
Best airline I have Flown,5,"Its a rarity we fly first class only twice before, but this was FIRST CLASS in every sense of the word. Filet Mignon served piping hot and medium rare. Ample appetizers and salads and desserts and service like a five star restaurant. They make your bed when ready and add patting so that it really feels like a bed. Sound...",International' 'First Class' 'Chicago - Hong Kong
Excelent,5,"Very nice fligth with serviceminded staff. Nice food and beverage.
Smooth passage with this airline.",International' 'Premium Economy' 'London - Auckland
Always a good experience,4,"It is always a good experience flying with this airline, even for short flights. Their crew are very well trained and make you feel good.",Southeast Asia' 'Business Class' 'Hong Kong - Manila
Longest flight I have been so far,4,I have booked a very good flight with only 23 hours from Portland to Danang with Cathay Pacific Airline. But at last I was informed to change the whole flight that I have paid to a new flight with 39 hours. I had to wait 7 hours at LAX for transit to flight from LAX to HONGKONG. I had to...,International' 'Economy' 'Portland - Da Nang
Stay Away - Choose a Different Airline,1,"We chose to fly with Cathay Pacific due to the great service they previously offered. Unfortunately, this trip highlighted the demise of Cathay Pacific. Our flights to and from Australia were disastrous! Our flight to Australia was cancelled within 24 hours of leaving. The alternative flight they gave us extended our travel time by 1 hours!! As soon as we...",International' 'Economy' 'Vancouver - Adelaide
Very comfortable modern plane,4,"Friendly staff,providing good customer service,the plane was new so it had all the new technologies,it was very comfortable with good leg room,the meals served were very good ,the entertainment system was excellent,and you can access wifi while you are flying ,that enables you to send and receive emails and access to internet ,very convenient if you are travelling for business.",International' 'Economy' 'Melbourne - Hong Kong
"Comfy sleeping, great food",5,Had a great flight JFK/Hong Kong in first class and just as good Hong Kong/JFK 2 weeks later. I used miles for both flights and did not think first class was a lot better than business class. This is not saying that first class was not great but that business class on this airline was really good. The nice thing...,International' 'First Class' 'New York City - Hong Kong
Long flight but comfortable,5,"This seems to be a long flight, but actually is only 11 hrs 1 mins. Had a very comfortable exit seat with unlimited legroom. The seat was comfortable and I managed a few hours sleep. The crew were attentive and very professional and I felt that the flight was good value for money. Cathay Pacific is a good airline, however,...",International' 'Economy' 'Hong Kong - Auckland
A Happy Experience,5,"Honk Kong airport must be one of the simplest, easiest and most user-friendly airports to negotiate anywhere in the world. The home airline, Cathay Pacific, replicates this in all aspects of its flight service. We took off to time and everything about the experience was happy. This route will undoubtedly be our preferred route to the Philippines in future trips.",Southeast Asia' 'Economy' 'Hong Kong - Cebu Island
Decent experience,3,Decent food and staff. Drinks served. Flight is normally late. Seating is manageable. Good movies to pass time.,North Asia' 'Economy' 'Hong Kong - Seoul
First Class service by a First class airline,5,"We had several flights with Cathay Pacific and Cathay Dragon during our recent holiday to Vietnam and Cambodia. We felt that everything about these flights were First Class.
Every Flight took off within 5 mins. of its expected departure time, we felt that our seats were very comfortable, food really good and the entertainment on offer excellent. We cannot fault...",International' 'Economy' 'Manchester - Hanoi
Business Class LAX to HKG,5,"Wonderful service. The seats are very comfortable, lie flat and quiet. The entertainment options were less than some other airlines that I have flown but were decent. The food and staff attentiveness and service were outstanding.",International' 'Business Class' 'Los Angeles - Hong Kong
Nothing to expect much but great and comfort aircraft 777-3er,4,The flight from London to Hongkong was a very comfortable and enjoyable one. Flight departed on time. I was seated on 39A on economy great leg room and the seat was comfortable with a good view outside. One thing I did not like much of this aircraft is the TV screen. The screen was located quiet far and high when...,International' 'Economy' 'London - Hong Kong
happy chap :),5,"recently flew Adelaide-Xiamen-fuzhou-Adelaide. as a recently new member of Marco Polo ( priority boarding) . i was very pleased to be upgraded to business class on Cathay Dragon flights (hk xiamen-fuzhou to Hk. all 4 flights were great, FA,s were all friendly lunch /evening meals were tasty ( breakfast not a fan of egg and sausage first thing in the...",International' 'Economy' 'Adelaide - Xiamen
Excellent Crew,4,"This is a long flight and leaves Hong Kong at 1: a.m. Even when flying long haul in business class the quality if the experience really depends of the staff. On this flight the crew were excellent: professional, attentive and responsive. The flight arrived a few minutes early. Cathay still needs to work a bit on business class food.",International' 'Business Class' 'Hong Kong - Vancouver
good service,5,I felt comfortable and have no complaints. The staff was nice. the food was good. GOOD ENTERTAINMENT,International' 'Economy' 'Tel Aviv - Manila
Great fluing experience,5,"from the business class lounge to the 14.5hr flight, everything was very nice. Food was great, and the attendants were very gracious.",International' 'Business Class' 'Chicago - Hong Kong
The precipitous decline in value continues,1,"The airline is fine in general but their frequent flyer program Marco Polo is so dysfunctional that I cancelled my next few Cathay Pacific flights. Luckily, I was able to get 1% of my money back because I just bought the tickets days ago.
MP Club is the worse. None of their contact numbers work. The online and counter data...",International' 'Economy' 'New York City - Hong Kong
Great entertainment system and service,5,"The onboard entertainment for economy class is a new full touch screen panel, which is very responsive with high quality screen resolution. The choice of movies are plenty, and enough to let me and my kids stay busy for the whole flight. The system would notice you whether you've enough time to finish a video or not upon the arrival....",Asia' 'Economy' 'Tokyo - Hong Kong
Very Good Flight and Service!,4,Hong Kong has a beautiful and efficient Airport. Cathay Pacific has a very efficient operation there.We were impressed as they got a huge aircraft full and off the runway on time for a long flight to Boston. The service and food were great and the seats were comfortable. After 15 hours we were ready to get home. My only complaint...,International' 'Premium Economy' 'Hong Kong - Boston
Fantastic experience on Cathay Pacific,5,"My husband and I flew YYZ-SYD-YYZ on Cathay and were very impressed with the service of the ground and air crew.
Special thanks to a Flight attendant who operated the last leg of our journey HKG-YYZ Flt#826 on 16Feb, not sure of her name though. She is Toronto based and her name could be Anne-Marie or Maryann. She was working...",International' 'Economy' 'Hong Kong - Toronto
Excellent flight,4,"Departure was at 3pm and we flew economy. We had a bassinet seat as we had our baby with us. We had plenty of leg room, enough to stretch out, a little bag of helpful items for the baby and very friendly staff who would come and talk to us and our daughter.
The food let it down slightly. We...",International' 'Economy' 'Auckland - Hong Kong
Good Services,4,"The flight attendants on CX flights are usually good. They are more attentive than the North American and European ones. However, I do noticed the Korean flight attendant on this particular flight showed a little better than the Hong Kong ones. She did not do anything special for me; but I just noticed the slight difference.",North Asia' 'Economy' 'Hong Kong - Seoul
Antipodian trip,4,"Few in new 35, comfort and facilities were excellent, however the food was very poor, quality of the chicken was terrible, and the service was a little more lax than normal. The next legs of the journey, to Australia and back were much better, even though the 777 was much older.",International' 'Business Class' 'Manchester - Hong Kong
Cathy Pathetic Airlines,2,"CX256 LHR to HKG 28th February
We got to the airport and checked in with no problem it was only when we got to the departure gate that it started to go downhill the only passenger announcements were for business and premium economy the economy passengers just either just sat or queued ,when we finally got on the plane our...",International' 'Economy' 'London - Hong Kong
Pretty good,4,"Cathay Pacific is a pretty good airline, as a Hong Kong people should be proud of it. Even now there are many competitors, but I still think Hong Kong people should support Cathay Pacific",North Asia' 'Economy' 'Hong Kong - Seoul
Comfortable and affordable,4,"It was my first time flying Cathay and I was wondering what all the hype was, as I kept hearing how great it is and comfortable. So I chose it to fly to Southeast Asia from Shanghai. I must say, it was fairly comfortable and the attendants were very friendly. The seat space was roomy and spacious to feel loose....",North Asia' 'Economy' 'Bangkok - Shanghai
Nice plane and staff,4,A long flight but the staff were efficient and kept everything going. The plane was reasonably roomy and the captain et al kept the flight smooth and uneventful - the way I like it!!,International' 'Economy' 'Hong Kong - London
"Good Service, Tired Plane",4,"Service and food was good. We found the interior of the plane we were on a little beat up, carpet tread bare, trim pieces loose, seat adjustment not working great, foam was very hard, and our USB port not working.",International' 'Business Class' 'Toronto - Hong Kong
One Airline is the Way to Go,4,Cathay Pacific recently has included Tel-Aviv as a destination. previously you had to go with two separate airlines. One airlline to Asia or Europe then change to another airline to Tel Aviv. making the connecting flight was always a hassle and stressful. You would be very lucky if your luggage made the transfer. Flying with one airline was much easier....,International' 'Economy' 'Melbourne - Tel Aviv
Nothing to really to fault. Nothing to really love. And NOT Singapore Airlines!,3,"Nothing bad about the experience, but nothing outsatanding at the back of the plane. Seat reasonably comfortable and entertainment reasonably good. Food was of the standard airline variety-not horrid, but hardly rich in flavour.
Service was OK, but crew were not that smiling and just a touch officious. I had so sense of being really well looked after or pampered....",International' 'Economy' 'London - Hong Kong
Consistently late,2,"Having flown Cathay from Singapore to Hong Kong a number of times now, the punctuality and quality of this airline is becoming an issue. Flights are constantly delayed in my experience, whereas it's direct competitor Singapore Airlines doesn't have this issue. Cathay is very underwhelming nowadays given the quality of once offered.",Asia' 'Economy' 'Singapore - Hong Kong
Simply the best !,5,"I have been flying since the last 3 years to Asia for business, and flyed with several Air companies, and to me, without any kind of doubt, Cathay Pacific is the best of all them !
Service is excelent.
Caviar, Salmon, Krugg Champagne, Fried eggs, Espressos, etc etc...
Quality of wood is excelent
Seats / suites are comfortable, like a...",International' 'First Class' 'London - Hong Kong
Cozy flight,4,"I used choose CX as my first choice for my personal flights. I usually reading newspaper first when I settle down on seat and watching films during the flight. There are many different kinds of film for me to choose and so I pretty enjoy watching it. Flight attentants are nice and helpful. In overall, I like taking CX everytime.",Southeast Asia' 'Economy' 'Hong Kong - Bangkok
""" Loved it""",5,"The whole experience with Cathay Pacific was just wonderful. Hassle-free check-in and boarding, comfy seats and awesome in-flight entertainment. Crew was great and advised me what to choose for meals.Flight was exceptionally clean. Loved the food as well. Would love to fly again with Cathay Pacific.",North Asia' 'Economy' 'Hong Kong - Tokyo
Good experience. Would fly again with them,4,"Good flight. Captain kept us well informed. The little blanket provided to each seat nice although air temperature perfect. The tablets were excellent - touch screen and there seemed more than usual leg room compared to other airlines. The crew were attentive and friendly. This was a night time flight so we got an evening meal, then left alone for...",International' 'Economy' 'Ho Chi Minh City - Auckland
Nice and Comfortable!,4,I have had a pleasant experience with Cathay Pacific from San Francisco to Mumbai and back. Service is good and attentive. Multiple meal options are available however it will be helpful to select the special meal beforehand specially for the vegetarians. Transfers and airport staff service is good.,International' 'Economy' 'San Francisco - Mumbai
Longtime CX flyer but airline going down slowly,3,"They only thing good about this flight was CX finally have ditched those awful ""slopping seats"" and gone back to reclining seats
So it was a new'ish plane
The food was below average, the movies old and limited -but both had more style than the crew",International' 'Economy' 'Auckland - Hong Kong
"Great Plane, Service and ADV",5,"Flew the New Airbus 35 in business class. Food, Audio Visual, Service and Sleeper Bed all outstanding. I fly often and this is truly an outstanding new plane. Quiet plane and TV screen flat screen large very easy to use and large selection of movies.
Would be great if the US base carriers could offer this level of service regularly.",International' 'Business Class' 'San Francisco - Hong Kong
hkg to pudong,4,"a pleasant flight overall. crew very attentive. food on flight was ok. the pier lounge in airport was great, very well designed and comfortable. i highly recommend this airline.",North Asia' 'Business Class' 'Hong Kong - Shanghai
Improvement,4,"My recent flight was Cathay Pacific Airways. The food standard was normal. I most like the bread to be hot, but in recent days Cathay Pacific has eaten bread that is frozen and I hope to see some improvement.
Because the flight attendant was too busy and did not have time to do other services and saw them in a...",North Asia' 'Economy' 'Hong Kong - Shanghai
Cramped for a long-haul flight,3,"The stewardesses and stewards did a great job, but the flight was so cramped it was uncomfortable. We had a 12 hour flight. I was able to order vegetarian meals ahead, so that helped. The in-seat TV had a lot of movie and TV selections, but every few minutes, it popped up an advertisement, which was super annoying. Even though...",International' 'Economy' 'Hong Kong - San Francisco
Without a doubt the best !,5,I continually fly this airline and find it to be the best in all areas. I was impressed with the assistance received by the staff and crews in many ways. Counter assistance is and to me the best for I have been flying for many years. If you hate the food on some airlines you will be really impressed with...,International' 'Premium Economy' 'New York City - Manila
How air travel ought to be,4,"Although I was nervous at first since economy doesn’t book a seat until 48 hours before a flight. The employees were competent professional and super helpful. Got seats together all the way through. Free meals, spacious seats, on time, friendly staff clear instructions. I was very impressed. It put domestic American flights to shame.",International' 'Economy' 'Portland - Bangkok
Efficient & Friendly Service,4,"Flight was on Boeing 777 which was clean and fresh in appearance in economy class , though the publications in the seat were grubby and tatty & well used. Flights were punctual and the crew were friendly and efficient. It's a 12 hour flight and there was adequate food and beverages provided even in economy class. The infotainment system worked...",International' 'Economy' 'London - Hong Kong
china,5,"the help on the plane treated us like king @queens.. The food @ the service was exceptional..The bathrooms were very clean ,no smells the seats were very comfortable. The stewardess advised us where to eat @ go @what time to be there",International' 'Business Class' 'New York City - Beijing
